YearStart,LocationDesc,Question,Number
2012,New Mexico,Chronic liver disease,
2013,Massachusetts,Chronic liver disease,6.9
2012,Connecticut,Chronic liver disease,7.9
2010,Ohio,Chronic liver disease,12.9
2013,Minnesota,Chronic liver disease,43.3
2013,North Carolina,Chronic liver disease,7.6
2017,Georgia,Chronic liver disease,6.0
2011,Kansas,Chronic liver disease,
2020,Connecticut,Chronic liver disease,12.1
2014,Alabama,Chronic liver disease,
2016,Oregon,Chronic liver disease,8.4
2020,Hawaii,Chronic liver disease,
2017,North Carolina,Chronic liver disease,8.5
2015,Louisiana,Chronic liver disease,14.5
2018,North Dakota,Chronic liver disease,17.6
2015,New Jersey,Chronic liver disease,6.8
2020,Nebraska,Chronic liver disease,15.2
2012,Idaho,Chronic liver disease,
2013,New York,Chronic liver disease,8.3
2015,Oregon,Chronic liver disease,13.7
2018,California,Chronic liver disease,8.2
2012,North Dakota,Chronic liver disease,86.9
2011,Georgia,Chronic liver disease,5.8
2020,Missouri,Chronic liver disease,
2019,Kansas,Chronic liver disease,
2010,Montana,Chronic liver disease,7.5
2014,Arkansas,Chronic liver disease,8.2
2020,Missouri,Chronic liver disease,11.9
2017,Mississippi,Chronic liver disease,
2019,New Hampshire,Chronic liver disease,6.8
2015,Alaska,Chronic liver disease,15.5
2018,Indiana,Chronic liver disease,16.8
2012,New Hampshire,Chronic liver disease,
2015,Montana,Chronic liver disease,17.2
2020,District of Columbia,Chronic liver disease,
2017,Alaska,Chronic liver disease,
2011,Nebraska,Chronic liver disease,
2018,Oklahoma,Chronic liver disease,37.0
2020,Florida,Chronic liver disease,13.0
2018,California,Chronic liver disease,9.9
2011,Arizona,Chronic liver disease,
2018,Mississippi,Chronic liver disease,
2018,Arizona,Chronic liver disease,
2012,Kentucky,Chronic liver disease,6.9
2017,Kentucky,Chronic liver disease,13.3
2018,New York,Chronic liver disease,
2015,New Hampshire,Chronic liver disease,9.6
2010,Kentucky,Chronic liver disease,
2013,Indiana,Chronic liver disease,
2012,Missouri,Chronic liver disease,
2011,Arkansas,Chronic liver disease,6.3
2020,Massachusetts,Chronic liver disease,
2016,Maryland,Chronic liver disease,6.7
2013,District of Columbia,Chronic liver disease,8.1
2010,Louisiana,Chronic liver disease,8.2
