YearStart,LocationDesc,Question,Rate,LocationID
2012,New Mexico,Chronic liver disease,,35
2013,Massachusetts,Chronic liver disease,6.9,25
2012,Connecticut,Chronic liver disease,7.9,9
2010,Ohio,Chronic liver disease,12.9,39
2013,Minnesota,Chronic liver disease,43.3,27
2013,North Carolina,Chronic liver disease,7.6,37
2017,Georgia,Chronic liver disease,6.0,13
2011,Kansas,Chronic liver disease,,20
2020,Connecticut,Chronic liver disease,12.1,9
2014,Alabama,Chronic liver disease,,1
2016,Oregon,Chronic liver disease,8.4,41
2020,Hawaii,Chronic liver disease,,15
2017,North Carolina,Chronic liver disease,8.5,37
2015,Louisiana,Chronic liver disease,14.5,22
2018,North Dakota,Chronic liver disease,17.6,38
2015,New Jersey,Chronic liver disease,6.8,34
2020,Nebraska,Chronic liver disease,15.2,31
2012,Idaho,Chronic liver disease,,16
2013,New York,Chronic liver disease,8.3,36
2015,Oregon,Chronic liver disease,13.7,41
2018,California,Chronic liver disease,8.2,6
2012,North Dakota,Chronic liver disease,86.9,38
2011,Georgia,Chronic liver disease,5.8,13
2020,Missouri,Chronic liver disease,,29
2019,Kansas,Chronic liver disease,,20
2010,Montana,Chronic liver disease,7.5,30
2014,Arkansas,Chronic liver disease,8.2,5
2020,Missouri,Chronic liver disease,11.9,29
2017,Mississippi,Chronic liver disease,,28
2019,New Hampshire,Chronic liver disease,6.8,33
2015,Alaska,Chronic liver disease,15.5,2
2018,Indiana,Chronic liver disease,16.8,18
2012,New Hampshire,Chronic liver disease,,33
2015,Montana,Chronic liver disease,17.2,30
2020,District of Columbia,Chronic liver disease,,11
2017,Alaska,Chronic liver disease,,2
2011,Nebraska,Chronic liver disease,,31
2018,Oklahoma,Chronic liver disease,37.0,40
2020,Florida,Chronic liver disease,13.0,12
2018,California,Chronic liver disease,9.9,6
2011,Arizona,Chronic liver disease,,4
2018,Mississippi,Chronic liver disease,,28
2018,Arizona,Chronic liver disease,,4
2012,Kentucky,Chronic liver disease,6.9,21
2017,Kentucky,Chronic liver disease,13.3,21
2018,New York,Chronic liver disease,,36
2015,New Hampshire,Chronic liver disease,9.6,33
2010,Kentucky,Chronic liver disease,,21
2013,Indiana,Chronic liver disease,,18
2012,Missouri,Chronic liver disease,,29
2011,Arkansas,Chronic liver disease,6.3,5
2020,Massachusetts,Chronic liver disease,,25
2016,Maryland,Chronic liver disease,6.7,24
2013,District of Columbia,Chronic liver disease,8.1,11
2010,Louisiana,Chronic liver disease,8.2,22
2012,Michigan,Chronic liver disease,,26
2011,New Jersey,Chronic liver disease,,34
2010,Indiana,Chronic liver disease,,18
2019,Michigan,Chronic liver disease,,26
2015,New Mexico,Chronic liver disease,33.4,35
2016,Delaware,Chronic liver disease,,10
2020,Arizona,Chronic liver disease,94.2,4
2013,Ohio,Chronic liver disease,10.3,39
2013,Missouri,Chronic liver disease,8.4,29
2017,Iowa,Chronic liver disease,9.2,19
2019,Hawaii,Chronic liver disease,4.9,15
2017,Florida,Chronic liver disease,,12
